Year,Male,Female
1970, 12500, 12500
1971, 11633, 11857
1972, 11097, 11543
1973, 10758, 11246
1974, 10537, 11033
1975, 10140, 10756
1976, 9843, 10543
1977, 9683, 10460
1978, 9569, 10468
1979, 9535, 10493
1980, 9378, 10353
1981, 9225, 10239
1982, 9224, 10274
1983, 9201, 10299
1984, 9149, 10305
1985, 9037, 10270
1986, 9012, 10268
1987, 8965, 10301
1988, 8934, 10375
1989, 8961, 10470
1990, 8950, 10503
1991, 8958, 10573
1992, 8995, 10645
1993, 9048, 10724
1994, 9091, 10886
1995, 9091, 10960
1996, 9123, 11042
1997, 9195, 11180
1998, 9284, 11330
1999, 9373, 11496
2000, 9406, 11587
2001, 9479, 11690
2002, 9578, 11806
2003, 9649, 11926
2004, 9747, 12065
2005, 9822, 12161
2006, 9894, 12260
2007, 9981, 12409
2008, 10047, 12563
2009, 10128, 12687
2010, 10201, 12814
2011, 10288, 12937
2012, 10442, 13062
2013, 10538, 13214
2014, 10666, 13400
2015, 10793, 13489
2016, 10850, 13624
2017, 10942, 13771
2018, 11050, 13923
2019, 11157, 14052
2020, 11263, 14173
2021, 11355, 14302
